Park Name,"Web-
site",Region,County or Counties,Size,Year Established,Status,Remarks
Carolina Beach State Park,[1],Coast,New Hanover,761 acres (3.08 km2),1969,Open,"Named not for a beach, rather the Town of Carolina Beach, the park is located along the banks of the Cape Fear River and Snow's Cut (part of the Intracoastal Waterway).  The park is best known for its variety of wild carnivorous plants, including the Venus Flytrap."
Carvers Creek State Park,[2],Coastal Plain,Cumberland,"4,530 acres (18.3 km2)",2005,Open,"Under development;
Interim facilities are open at the park's historic Long Valley Farm Access."
Chimney Rock State Park,[3],Mountains,"Rutherford, Polk, Buncombe, Henderson","8,014 acres (32.43 km2)",2005,Open,"Under development;
The park protects the landscape of Hickory Nut Gorge, including its most well known feature, Chimney Rock."
Cliffs of the Neuse State Park,[4],Coastal Plain,Wayne,"1,097 acres (4.44 km2)",1945,Open,The park protects ancient cliff faces located along the banks of the Neuse River.
Crowders Mountain State Park,[5],Piedmont,Gaston,"5,217 acres (21.11 km2)",1973,Open,"The park protects the Kings Mountain Ridgeline in North Carolina, including its highest peaks Crowder's Mountain and King's Pinnacle.  The park is also adjacent to Kings Mountain State Park in South Carolina, which in turn is adjacent to Kings Mountain National Military Park.  All three parks are connected via the Kings Mountain Ridgeline Trail."
Dismal Swamp State Park,[6],Coastal Plain,Camden,"14,432 acres (58.40 km2)",1974,Open,"Under development;
The park protects large part of the Great Dismal Swamp, and it is adjacent to Great Dismal Swamp National Wildlife Refuge.  It is bounded on the east by the Dismal Swamp Canal."
Elk Knob State Park,[7],Mountains,"Watauga, Ashe","4,423 acres (17.90 km2)",2002,Open,"Under development;
The park preserves some of the highest peaks in Ashe and Watauga Counties, and it protects headwaters of the North Fork New River."
Eno River State Park,[8],Piedmont,"Durham, Orange","4,319 acres (17.48 km2)",1973,Open,The park protects the banks of the Eno River and surrounding lands.
Fort Macon State Park,[9],Coast,Carteret,424 acres (1.72 km2),1924,Open,The first North Carolina State Park to open to the public.  It protects the historic Fort Macon and the eastern end of Bogue Banks.
Goose Creek State Park,[10],Coastal Plain,Beaufort,"1,672 acres (6.77 km2)",1974,Open,The park protects part of the landscape along the Pamlico Sound.
Gorges State Park,[11],Mountains,Transylvania,"7,709 acres (31.20 km2)",1999,Open,"Under development;
North Carolina's westernmost state park; it is located along the steep Blue Ridge Escarpment.  The park is best known for the many waterfalls it provides access to, both inside the park and on adjacent public lands."
Grandfather Mountain State Park,[12],Mountains,"Avery, Watauga, Caldwell","3,647 acres (14.76 km2)",2009,Open,"Under development;
Adjacent to the Blue Ridge Parkway, the park protects the highest peak located along the Blue Ridge Escarpment.  The park consists of lands formerly known as the ""backcountry area"" when it was privately owned nature preserve."
Hammocks Beach State Park,[13],Coast,Onslow,"1,611 acres (6.52 km2)",1961,Open,"While protecting a variety of maritime habitats, the park is most known for its four-mile (6.4 km) long barrier island, Bear Island.  The park operates a passenger ferry service between the mainland and island in the warmer months."
Hanging Rock State Park,[14],Piedmont,Stokes,"9,011 acres (36.47 km2)",1935,Open,"The park encompasses the eastern end of the Sauratown Mountain range, including a geologic feature known as Hanging Rock.  It also protects a segment of the Dan River."
Haw River State Park,[15],Piedmont,"Rockingham, Guilford","1,485 acres (6.01 km2)",2003,Open,"Under development;
This park preserves large wetlands along the Haw River."
Jockey's Ridge State Park,[16],Coast,Dare,427 acres (1.73 km2),1975,Open,The park protects the tallest sand dune system on the East Coast of the United States.
Jones Lake State Park,[17],Coastal Plain,Bladen,"1,669 acres (6.75 km2)",1939,Open,"The park surrounds Jones State Lake and Salters State Lake, both of which are largely undeveloped Carolina Bay lakes. Until 1965, it was one of two parks open to Black people."
Lake James State Park,[18],Mountains,"McDowell, Burke","3,743 acres (15.15 km2)",1987,Open,"Under redevelopment;
Located near the base of Linville Gorge, the park encompasses large parts of the Lake James shoreline.  In 2004, the park nearly octupled in size after a land deal with Crescent Resources."
Lake Norman State Park,[19],Piedmont,Iredell,"1,942 acres (7.86 km2)",1962,Open,"Formerly known as Duke Power State Park, most of this park consists of lands donated by Duke Power along the shores of Lake Norman, the largest manmade body of fresh water in North Carolina."
Lake Waccamaw State Park,[20],Coastal Plain,Columbus,"2,398 acres (9.70 km2)",1976,Open,"This park is along the shoreline of Lake Waccamaw, the largest natural Carolina Bay lake."
Lumber River State Park,[21],Coastal Plain,"Scotland, Hoke, Robeson, Columbus","13,695 acres (55.42 km2)",1989,Open,"The State Park with the greatest geographic expanse, it preserves the banks of the black water Lumber River, which is Wild and Scenic River and a State River."
